channel,min,max,rms,pct_near_edge,flat_runs,has_nan,has_inf
0,-0.33145137442856504,0.26337476942762744,0.047702322907547286,0.01953125,0,False,False
1,-0.4316932618087081,0.32667459488521394,0.06577233672759163,0.01953125,0,False,False
2,-0.5577199105683992,0.4082919540881068,0.07133925157737919,0.029296875,0,False,False
3,-1.107004862095815,0.6347802430116292,0.11843341382375858,0.029296875,0,False,False
4,-0.8830478766370007,0.6000597519389368,0.10283793648464801,0.029296875,0,False,False
5,-0.2698244000653759,0.340102901838121,0.05065878199538048,0.01953125,0,False,False
6,-0.29460256777038585,0.24287488416994532,0.06171932896599319,0.01953125,0,False,False
7,-0.2603335996340308,0.24076614144618244,0.04935535749196374,0.01953125,0,False,False
8,-0.35012053731048143,0.27751436630764315,0.04865110797901841,0.01953125,0,False,False
9,-0.4840150426685257,0.3720047606238717,0.07170042430991178,0.01953125,0,False,False
10,-0.6951801765540313,0.4735236152962376,0.0767465309597791,0.01953125,0,False,False
11,-1.4533351154764407,0.9728267482518451,0.1474919984100664,0.01953125,0,False,False
12,-0.6772720646706553,0.6035115021777382,0.09766283019629744,0.01953125,0,False,False
13,-0.32664305966917656,0.28702300389656354,0.05615996134583773,0.01953125,0,False,False
14,-0.2740348464750436,0.2490739677996151,0.05989028019227577,0.029296875,0,False,False
15,-0.2666798497256846,0.28539925032876373,0.057140683830857554,0.01953125,0,False,False
16,-0.2041913729967961,0.25541806078853196,0.03407206744013769,0.01953125,0,False,False
17,-0.12315766523354904,0.255195199630719,0.029545925116879448,0.01953125,0,False,False
18,-0.07498858532351839,0.06375871755696066,0.013695778612913342,0.0390625,0,False,False
19,-0.11712288741511132,0.0766615546414048,0.02061644645000727,0.01953125,0,False,False
20,-0.16936928647318392,0.08959054765217857,0.0243254569575536,0.01953125,0,False,False
21,-0.10976037652176794,0.07914935019850253,0.018631713752872498,0.01953125,0,False,False
22,-0.0522379902818654,0.07129823061025271,0.012618862135822619,0.01953125,0,False,False
23,-0.16770922001579128,0.27601465340373466,0.028961708134179923,0.01953125,0,False,False
24,-0.03420465586778267,0.040410021018057816,0.0076668525249343235,0.01953125,0,False,False
25,-0.0674637494614818,0.059306197304375884,0.012477252798802872,0.01953125,0,False,False
26,-0.11369453530764267,0.05515062270854786,0.016045521755911066,0.01953125,0,False,False
27,-0.11227923186855221,0.08795466211032585,0.02300856761099317,0.029296875,0,False,False
